Time Elapsed (s),Voltage
0.736,0
0.736,0
0.736,0
0.736,0
0.736,0
0.736,0
0.738,0
0.74,0
0.74,0
0.74,0
0.74,0
0.74,0
0.74,0
0.74,0
0.74,0
0.74,0
0.74,0
0.74,0
0.749,0
0.749,0
0.749,0
0.749,0
0.749,0
0.749,0
0.749,0
0.749,0
0.749,0
0.749,0
0.759,0
0.759,0
0.759,0
0.759,0
0.759,0
0.759,0
0.759,0
0.759,0
0.763,0
0.763,0
0.765,0
0.765,0
0.765,0
0.765,0
0.765,0
0.765,0
0.765,0
0.765,0
0.765,0
0.765,0
0.771,0
0.771,0
0.773,0
0.773,0
0.773,0
0.773,0
0.773,0
0.773,0
0.773,0
0.773,0
0.781,0
0.781,0
0.781,0
0.781,0
0.782,0
0.782,0
0.782,0
0.782,0
0.782,0
0.782,0
0.782,0
0.782,0
0.782,0
0.79,0
0.79,0
0.79,0
0.79,0
0.79,0
0.79,0
0.79,0
0.79,0
0.79,0
0.798,0
0.798,0
0.798,0
0.798,0
0.798,0
0.802,0
0.802,0
0.802,0
0.802,0
0.804,0
0.804,0
0.804,0
0.807,0
0.809,0
0.809,0
0.809,0
0.809,0
0.809,0
0.809,0
0.809,0
0.814,0
0.814,0
0.814,0
0.814,0
0.814,0
0.814,0
0.814,0
0.814,0
0.814,0
0.814,0
0.814,0
0.814,0
0.814,0
0.814,0
0.823,0
0.823,0
0.823,0
0.823,0
0.823,0
0.823,0
0.823,0
0.83,0
0.83,0
0.83,0
0.83,0
0.83,0
0.83,0
0.83,0
0.83,0
0.83,0
0.83,0
0.83,0
0.83,0
0.83,0
0.83,0
0.839,0
0.839,0
0.839,0
0.839,0
0.839,0
0.839,0
0.839,0
0.847,0
0.847,0
0.847,0
0.847,0
0.847,0
0.847,0
0.847,0
0.852,0
0.852,0
0.852,0
0.852,0
0.852,0
0.852,0
0.852,0
0.855,0
0.855,0
0.855,0
0.855,0
0.855,0
0.855,0
0.855,0
0.855,0
0.863,0
0.863,0
0.864,0
0.864,0
0.864,0
0.864,0
0.864,0
0.864,0
0.864,0
0.864,0
0.864,0
0.864,0
0.864,0
0.864,0
0.874,0
0.874,0
0.874,0
0.874,0
0.874,0
0.876,0
0.876,0
0.879,0
0.879,0
0.879,0
0.879,0
0.879,0
0.879,0
0.879,0
0.879,0
0.879,0
0.879,0
0.879,0
0.879,0
0.879,0
0.879,0
0.889,0
0.889,0
0.889,0
0.889,0
0.889,0
0.889,0
0.889,0
0.896,0
0.896,0
0.896,0
0.896,0
0.896,0
0.896,0
0.896,0
0.896,0
0.896,0
0.896,0
0.896,0
0.896,0
0.896,0
0.896,0
0.904,0
0.904,0
0.904,0
0.904,0
0.904,0
0.904,0
0.904,0
0.904,0
0.913,0
0.913,0
0.913,0
0.913,0
0.913,0
0.913,0
0.913,0
0.913,0
0.913,0
0.913,0
0.913,0
0.913,0
0.913,0
0.913,0
0.921,0
0.921,0
0.921,0
0.921,0
0.921,0
0.921,0
0.921,0
0.929,0
0.93,0
0.93,0
0.93,0
0.93,0
0.93,0
0.93,0
0.93,0
0.93,0
0.93,0
0.93,0
0.93,0
0.93,0
0.93,0
0.937,0
0.937,0
0.937,0
0.937,0
0.937,0
0.937,0
0.937,0
0.946,0
0.946,0
0.946,0
0.946,0
0.946,0
0.946,0
0.946,0
0.946,0
0.946,0
0.946,0
0.946,0
0.946,0
0.946,0
0.946,0
0.954,0
0.954,0
0.954,0
0.954,0
0.954,0
0.954,0
0.954,0
0.954,0
0.962,0
0.962,0
0.962,0
0.962,0
0.962,0
0.962,0
0.962,0
0.964,0
0.964,0
0.964,0
0.964,0
0.964,0
0.964,0
0.964,0
0.97,0
0.97,0
0.97,0
0.97,0
0.97,0
0.97,0
0.97,0
0.979,0
0.979,0
0.979,0
0.979,0
0.979,0
0.979,0
0.979,0
0.979,0
0.979,0
0.979,0
0.979,0
0.979,0
0.979,0
0.979,0
0.987,0
0.987,0
0.987,0
0.987,0
0.987,0
0.987,0
0.987,0
0.996,0
0.996,0
0.996,0
0.996,0
0.996,0
0.996,0
0.996,0
0.996,0
0.996,0
0.996,0
0.996,0
0.996,0
0.996,0
0.996,0
1.005,0
1.005,0
1.005,0
1.005,0
1.005,0
1.005,0
1.005,0
1.005,0
1.012,0
1.012,0
1.012,0
1.013,0
1.013,0
1.013,0
1.013,0
1.016,0
1.016,0
1.016,0
1.016,0
1.016,0
1.016,0
1.016,0
1.02,0
1.02,0
1.02,0
1.02,0
1.02,0
1.02,0
1.02,0
1.028,0
1.028,0
1.028,0
1.028,0
1.03,0
1.03,0
1.03,0
1.03,0
1.03,0
1.03,0
1.03,0
1.03,0
1.03,0
1.03,0
1.039,0
1.039,0
1.039,0
1.039,0
1.039,0
1.039,0
1.039,0
1.045,0
1.045,0
1.045,0
1.045,0
1.045,0
1.045,0
1.045,0
1.045,0
1.045,0
1.045,0
1.045,0
1.045,0
1.045,0
1.045,0
1.053,0
1.053,0
1.053,0
1.053,0
1.053,0
1.053,0
1.053,0
1.053,0
1.061,0
1.061,0
1.061,0
1.061,0
1.061,0
1.061,0
1.061,0
1.061,0
1.061,0
1.061,0
1.061,0
1.061,0
1.061,0
1.061,0
1.07,0
1.07,0
1.07,0
1.074,0
1.074,0
1.074,0
1.074,0
1.078,0
1.078,0
1.078,0
1.078,0
1.078,0
1.078,0
1.078,0
1.084,0
1.084,0
1.084,0
1.084,0
1.084,0
1.084,0
1.084,0
1.086,0
1.09,0
1.09,0
1.09,0
1.09,0
1.09,0
1.09,0
1.095,0
1.095,0
1.095,0
1.095,0
1.095,0
1.095,0
1.095,0
1.101,0
1.101,0
1.101,0
1.101,0
1.101,0
1.101,0
1.101,0
1.103,0
1.103,0
1.103,0
1.103,0
1.103,0
1.103,0
1.103,0
1.103,0
1.11,0
1.11,0
1.11,0
1.11,0
1.11,0
1.11,0
1.11,0
1.11,0
1.11,0
1.11,0
1.11,0
1.11,0
1.11,0
1.11,0
1.119,0
1.119,0
1.119,0
1.119,0
1.119,0
1.119,0
1.119,0
1.128,0
1.128,0
1.128,0
1.128,0
1.128,0
1.128,0
1.128,0
1.128,0
1.128,0
1.128,0
1.128,0
1.128,0
1.128,0
1.128,0
1.136,0
1.136,0
1.136,0
1.136,0
1.136,0
1.136,0
1.136,0
1.144,0
1.144,0
1.144,0
1.144,0
1.144,0
1.144,0
1.144,0
1.144,0
1.144,0
1.144,0
1.144,0
1.144,0
1.144,0
1.144,0
1.153,0
1.153,0
1.153,0
1.153,0
1.153,0
1.153,0
1.153,0
1.153,0
1.161,0
1.161,0
1.161,0
1.161,0
1.163,0
1.163,0
1.163,0
1.163,0
1.163,0
1.163,0
1.163,0
1.163,0
1.163,0
1.163,0
1.171,0
1.171,0
1.171,0
1.171,0
1.171,0
1.171,0
1.171,0
1.177,0
1.177,0
1.177,0
1.177,0
1.177,0
1.177,0
1.177,0
1.177,0
1.177,0
1.177,0
1.177,0
1.177,0
1.177,0
1.177,0
1.188,0
1.188,0
1.188,0
1.188,0
1.188,0
1.188,0
1.188,0
1.195,0
1.195,0
1.195,0
1.195,0
1.195,0
1.195,0
1.195,0
1.195,0
1.195,0
1.195,0
1.195,0
1.195,0
1.195,0
1.195,0
1.203,0
1.203,0
1.203,0
1.203,0
1.203,0
1.203,0
1.203,0
1.203,0
1.211,0
1.211,0
1.211,0
1.211,0
1.211,0
1.211,0
1.211,0
1.211,0
1.211,0
1.211,0
1.211,0
1.211,0
1.211,0
1.211,0
1.221,0
1.221,0
1.221,0
1.221,0
1.221,0
1.221,0
1.221,0
1.228,0
1.228,0
1.228,0
1.228,0
1.228,0
1.228,0
1.228,0
1.233,0
1.233,0
1.234,0
1.234,0
1.234,0
1.234,0
1.234,0
1.238,0
1.239,0
1.239,0
1.239,0
1.239,0
1.239,0
1.239,0
1.245,0
1.245,0
1.246,0
1.246,0
1.246,0
1.246,0
1.246,0
1.249,0
1.249,0
1.249,0
1.249,0
1.249,0
1.249,0
1.251,0
1.253,0
1.253,0
1.253,0
1.253,0
1.253,0
1.253,0
1.253,0
1.253,0
1.261,0
1.261,0
1.261,0
1.261,0
1.261,0
1.261,0
1.261,0
1.261,0
1.261,0
1.261,0
1.261,0
1.261,0
1.261,0
1.261,0
1.271,0
1.271,0
1.271,0
1.271,0
1.271,0
1.271,0
1.271,0
1.277,0
1.277,0
1.277,0
1.277,0
1.277,0
1.277,0
1.277,0
1.277,0
1.277,0
1.277,0
1.277,0
1.277,0
1.277,0
1.277,0
1.286,0
1.286,0
1.286,0
1.286,0
1.286,0
1.286,0
1.286,0
1.294,0
1.294,0
1.294,0
1.294,0
1.294,0
1.294,0
1.294,0
1.294,0
1.294,0
1.294,0
1.294,0
1.294,0
1.294,0
1.294,0
1.302,0
1.302,0
1.302,0
1.302,0
1.302,0
1.302,0
1.302,0
1.302,0
1.31,0
1.31,0
1.31,0
1.31,0
1.31,0
1.31,0
1.31,0
1.316,0
1.316,0
1.317,0
1.317,0
1.317,0
1.317,0
1.318,0
1.322,0
1.322,0
1.322,0
1.322,0
1.322,0
1.322,0
1.322,0
1.327,0
1.327,0
1.327,0
1.328,0
1.328,0
1.328,0
1.328,0
1.333,0
1.333,0
1.333,0
1.333,0
1.333,0
1.334,0
1.334,0
1.338,0
1.338,0
1.338,0
1.338,0
1.338,0
1.338,0
1.338,0
1.342,0
1.342,0
1.342,0
1.342,0
1.345,0
1.345,0
1.345,0
1.345,0
1.35,0
1.35,0
1.35,0
1.35,0
1.35,0
1.35,0
1.354,0
1.354,0
1.354,0
1.354,0
1.354,0
1.354,0
1.354,0
1.354,0
1.359,0
1.359,0
1.359,0
1.359,0
1.359,0
1.359,0
1.359,0
1.366,0
1.366,0
1.366,0
1.366,0
1.366,0
1.366,0
1.366,0
1.369,0
1.369,0
1.369,0
1.369,0
1.369,0
1.369,0
1.369,0
1.374,0
1.374,0
1.374,0
1.374,0
1.374,0
1.374,0
1.374,0
1.382,0
1.383,0
1.383,0
1.383,0
1.383,0
1.383,0
1.383,0
1.383,0
1.383,0
1.383,0
1.383,0
1.383,0
1.383,0
1.383,0
1.391,0
1.391,0
1.391,0
1.391,0
1.391,0.008864
1.391,0.193407
1.391,0.186154
1.399,0.178095
1.399,0.167619
1.399,0.157949
1.399,0.146667
1.399,0.137802
1.399,0.124103
1.399,0.115238
1.403,0.100733
1.403,0.090256
1.403,0.074945
1.403,0.063663
1.405,0.051575
1.405,0.037875
1.405,0.02337
1.405,0.012894
1.408,0
1.408,0
1.408,0
1.408,0.005641
1.408,0.012894
1.408,0.025788
1.408,0.037875
1.414,0.047546
1.416,0.05641
1.416,0.066886
1.416,0.078168
1.416,0.090256
1.416,0.101538
1.416,0.113626
1.419,0.120879
1.419,0.133773
1.419,0.142637
1.419,0.153919
1.419,0.162784
1.419,0.170842
1.419,0
1.425,0
1.425,0
1.425,0
1.425,0
1.425,0
1.425,0
1.425,0
1.432,0
1.432,0
1.433,0
1.433,0
1.433,0
1.433,0
1.433,0
1.433,0
1.433,0
1.433,0
1.433,0.176484
1.439,0.182125
1.439,0.189377
1.439,0.193407
1.441,0.202271
1.441,0.2063
1.441,0.208718
1.441,0.214359
1.441,0.219194
1.441,0.219194
1.441,0.22
1.449,0.223223
1.449,0.224029
1.449,0.224029
1.449,0.224835
1.449,0.223223
1.449,0.223223
1.449,0.220806
1.449,0
1.449,0
1.449,0
1.449,0
1.449,0
1.449,0
1.449,0
1.449,0
1.458,0
1.458,0
1.458,0
1.458,0
1.458,0
1.458,0
1.458,0
1.465,0
1.466,0
1.466,0
1.466,0.061245
1.466,0.061245
1.466,0.05641
1.466,0.054799
1.466,0.052381
1.466,0.051575
1.466,0.050769
1.466,0.049963
1.466,0.043516
1.466,0.043516
1.466,0.038681
1.474,0.038681
1.474,0.034652
1.474,0.033846
1.474,0.030623
1.474,0.026593
1.474,0.026593
1.474,0.021758
1.482,0.016923
1.482,0
1.482,0
1.482,0
1.482,0
1.482,0
1.482,0
1.482,0
1.482,0
1.482,0
1.482,0
1.482,0
1.482,0
1.482,0
1.492,0.002418
1.492,0.011282
1.492,0.016923
1.492,0.022564
1.492,0.027399
1.494,0.164396
1.494,0.161172
1.498,0.157143
1.498,0.154725
1.498,0.153919
1.498,0.145861
1.498,0.142637
1.498,0.141026
1.498,0.136996
1.501,0.133773
1.501,0.128132
1.501,0.124103
1.501,0.117656
1.501,0.116044
1.501,0.112015
1.501,0.105568
1.501,0.10315
1.508,0.099121
1.508,0.031429
1.508,0.030623
1.508,0.03304
1.508,0.032234
1.508,0.03304
1.508,0.030623
1.514,0.030623
1.514,0.030623
1.514,0.031429
1.514,0.031429
1.514,0.028205
1.514,0.028205
1.514,0.029817
1.514,0.025788
1.514,0.027399
1.514,0.024982
1.514,0.02337
1.514,0.021758
1.514,0.020952
1.514,0
1.524,0
1.524,0
1.524,0
1.524,0
1.524,0
1.524,0
1.524,0
1.53,0
1.53,0
1.53,0
1.53,0
1.53,0
1.533,0
1.533,0
1.535,0
1.535,0
1.535,0
1.535,0.05641
1.535,0.058828
1.538,0.059634
1.538,0.06044
1.541,0.062051
1.541,0.064469
1.541,0.064469
1.541,0.065275
1.541,0.066081
1.541,0.066886
1.541,0.07011
1.547,0.07011
1.547,0.07011
1.547,0.073333
1.547,0.07011
1.547,0.074139
1.547,0.074139
1.547,0.073333
1.547,0
1.547,0
1.547,0
1.547,0
1.547,0
1.547,0
1.547,0
1.547,0
1.555,0
1.555,0
1.555,0
1.555,0
1.555,0
1.555,0
1.555,0
1.563,0
1.563,0
1.563,0
1.563,0
1.563,0.064469
1.563,0.06044
1.563,0.06044
1.566,0.053187
1.566,0.051575
1.566,0.051575
1.566,0.04674
1.571,0.043516
1.571,0.038681
1.571,0.034652
1.573,0.032234
1.573,0.028205
1.573,0.025788
1.573,0.017729
1.573,0.018535
1.573,0.014505
1.573,0.012088
1.58,0.008864
1.58,0
1.58,0
1.58,0
1.58,0
1.58,0
1.58,0
1.586,0.002418
1.586,0.002418
1.586,0.002418
1.586,0.004835
1.586,0.007253
1.588,0.008059
1.588,0.008864
1.59,0.012088
