Time (s),Frequency (Hz),Intensity (dB)
0.0,1279.1015625,-313.0712
0.0,1286.328125,-313.0712
0.0,1293.5546875,-313.0712
0.0,1300.78125,-313.0712
0.0,1308.0078125,-313.0712
0.0,1315.234375,-313.0712
0.0,1322.4609375,-313.0712
0.0,1329.6875,-313.0712
0.0,1336.9140625,-313.0712
0.0,1344.140625,-313.0712
0.0,1351.3671875,-313.0712
0.0,1358.59375,-313.0712
0.0,1365.8203125,-313.0712
0.0,1373.046875,-313.0712
0.0,1380.2734375,-313.0712
0.0,1387.5,-313.0712
0.0,1394.7265625,-313.0712
0.0,1401.953125,-313.0712
0.0,1409.1796875,-313.0712
0.0,1416.40625,-313.0712
0.0,1423.6328125,-313.0712
0.0,1430.859375,-313.0712
0.0,1438.0859375,-313.0712
0.0,1445.3125,-313.0712
0.0,1452.5390625,-313.0712
0.0,1459.765625,-313.0712
0.0,1466.9921875,-313.0712
0.0,1474.21875,-313.0712
0.0,1481.4453125,-313.0712
0.0,1488.671875,-313.0712
0.0,1495.8984375,-313.0712
0.0,1503.125,-313.0712
0.0,1510.3515625,-313.0712
0.0,1517.578125,-313.0712
0.0,1524.8046875,-313.0712
0.0,1532.03125,-313.0712
0.0,1539.2578125,-313.0712
0.0,1546.484375,-313.0712
0.0,1553.7109375,-313.0712
0.0,1560.9375,-313.0712
0.0,1568.1640625,-313.0712
0.0,1575.390625,-313.0712
0.0,1582.6171875,-313.0712
0.0,1589.84375,-313.0712
0.0,1597.0703125,-313.0712
0.0,1604.296875,-313.0712
0.0,1611.5234375,-313.0712
0.0,1618.75,-313.0712
0.0,1625.9765625,-313.0712
0.0,1633.203125,-313.0712
0.0,1640.4296875,-313.0712
0.0,1647.65625,-313.0712
0.0,1654.8828125,-313.0712
0.0,1662.109375,-313.0712
0.0,1669.3359375,-313.0712
0.0,1676.5625,-313.0712
0.0,1683.7890625,-313.0712
0.0,1691.015625,-313.0712
0.0,1698.2421875,-313.0712
0.0,1705.46875,-313.0712
0.0,1712.6953125,-313.0712
0.0,1719.921875,-313.0712
0.0,1727.1484375,-313.0712
0.0,1734.375,-313.0712
0.0,1741.6015625,-313.0712
0.0,1748.828125,-313.0712
0.0,1756.0546875,-313.0712
0.0,1763.28125,-313.0712
0.0,1770.5078125,-313.0712
0.0,1777.734375,-313.0712
0.0,1784.9609375,-313.0712
0.0,1792.1875,-313.0712
0.0,1799.4140625,-313.0712
0.0,1806.640625,-313.0712
0.0,1813.8671875,-313.0712
0.0,1821.09375,-313.0712
0.0,1828.3203125,-313.0712
0.0,1835.546875,-313.0712
0.0,1842.7734375,-313.0712
0.0,1850.0,-313.0712
0.06918918918918919,0.0,-313.0712
0.06918918918918919,7.2265625,-313.0712
0.06918918918918919,14.453125,-313.0712
0.06918918918918919,21.6796875,-313.0712
0.06918918918918919,28.90625,-313.0712
0.06918918918918919,36.1328125,-313.0712
0.06918918918918919,43.359375,-313.0712
0.06918918918918919,50.5859375,-313.0712
0.06918918918918919,57.8125,-313.0712
0.06918918918918919,65.0390625,-313.0712
0.06918918918918919,72.265625,-313.0712
0.06918918918918919,79.4921875,-313.0712
0.06918918918918919,86.71875,-313.0712
0.06918918918918919,93.9453125,-313.0712
0.06918918918918919,101.171875,-313.0712
0.06918918918918919,108.3984375,-313.0712
0.06918918918918919,115.625,-313.0712
0.06918918918918919,122.8515625,-313.0712
0.06918918918918919,130.078125,-313.0712
0.06918918918918919,137.3046875,-313.0712
0.06918918918918919,144.53125,-313.0712
0.06918918918918919,151.7578125,-313.0712
0.06918918918918919,158.984375,-313.0712
0.06918918918918919,166.2109375,-313.0712
0.06918918918918919,173.4375,-313.0712
0.06918918918918919,180.6640625,-313.0712
0.06918918918918919,187.890625,-313.0712
0.06918918918918919,195.1171875,-313.0712
0.06918918918918919,202.34375,-313.0712
0.06918918918918919,209.5703125,-313.0712
0.06918918918918919,216.796875,-313.0712
0.06918918918918919,224.0234375,-313.0712
0.06918918918918919,231.25,-313.0712
0.06918918918918919,238.4765625,-313.0712
0.06918918918918919,245.703125,-313.0712
0.06918918918918919,252.9296875,-313.0712
0.06918918918918919,260.15625,-313.0712
0.06918918918918919,267.3828125,-313.0712
0.06918918918918919,274.609375,-313.0712
0.06918918918918919,281.8359375,-313.0712
0.06918918918918919,289.0625,-313.0712
0.06918918918918919,296.2890625,-313.0712
0.06918918918918919,303.515625,-313.0712
0.06918918918918919,310.7421875,-313.0712
0.06918918918918919,317.96875,-313.0712
0.06918918918918919,325.1953125,-313.0712
0.06918918918918919,332.421875,-313.0712
0.06918918918918919,339.6484375,-313.0712
0.06918918918918919,346.875,-313.0712
0.06918918918918919,354.1015625,-313.0712
0.06918918918918919,361.328125,-313.0712
0.06918918918918919,368.5546875,-313.0712
0.06918918918918919,375.78125,-313.0712
